criterion,tensor(1244.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,0.0,69.0,220.0,301.0,370.0,450.0,453.0,491.0,587.0,641.0,795.0,921.0,1035.0,1112.0,1124.0
job 1,0.0,171.0,273.0,320.0,374.0,463.0,539.0,600.0,618.0,640.0,778.0,804.0,834.0,908.0,1064.0
job 2,0.0,62.0,109.0,202.0,256.0,298.0,376.0,453.0,568.0,630.0,663.0,707.0,793.0,1118.0,1127.0
job 3,0.0,33.0,115.0,196.0,226.0,322.0,353.0,521.0,553.0,698.0,753.0,802.0,812.0,904.0,907.0
job 4,135.0,171.0,220.0,405.0,463.0,532.0,604.0,623.0,688.0,725.0,804.0,883.0,894.0,997.0,1217.0
job 5,0.0,83.0,115.0,169.0,235.0,322.0,416.0,618.0,707.0,765.0,795.0,851.0,1025.0,1057.0,1164.0
job 6,83.0,315.0,393.0,419.0,447.0,464.0,507.0,521.0,597.0,613.0,776.0,883.0,1003.0,1123.0,1161.0
job 7,0.0,69.0,369.0,416.0,419.0,548.0,688.0,738.0,776.0,891.0,920.0,1063.0,1118.0,1146.0,1217.0
job 8,0.0,150.0,256.0,335.0,382.0,468.0,705.0,835.0,904.0,929.0,969.0,1063.0,1086.0,1147.0,1206.0
job 9,0.0,78.0,82.0,117.0,241.0,290.0,376.0,460.0,543.0,641.0,725.0,743.0,766.0,894.0,1102.0
job 10,143.0,179.0,222.0,303.0,370.0,448.0,549.0,753.0,807.0,889.0,929.0,1051.0,1058.0,1112.0,1204.0
job 11,0.0,78.0,136.0,198.0,241.0,242.0,298.0,468.0,517.0,597.0,812.0,912.0,921.0,969.0,993.0
job 12,0.0,83.0,197.0,235.0,322.0,417.0,532.0,543.0,694.0,793.0,851.0,924.0,993.0,1051.0,1147.0
job 13,33.0,226.0,320.0,414.0,507.0,568.0,630.0,705.0,795.0,835.0,912.0,935.0,968.0,1078.0,1147.0
job 14,62.0,135.0,147.0,163.0,312.0,322.0,369.0,464.0,548.0,640.0,698.0,848.0,988.0,1078.0,1146.0
