criterion,tensor(1257.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,5.0,99.0,251.0,449.0,502.0,528.0,576.0,652.0,734.0,744.0,773.0,904.0,996.0,1095.0,1172.0
job 1,141.0,236.0,277.0,365.0,443.0,511.0,644.0,652.0,662.0,771.0,850.0,868.0,919.0,981.0,1162.0
job 2,0.0,220.0,302.0,380.0,523.0,573.0,646.0,667.0,673.0,885.0,953.0,1035.0,1055.0,1094.0,1129.0
job 3,94.0,167.0,190.0,493.0,523.0,576.0,670.0,749.0,842.0,874.0,965.0,995.0,1051.0,1080.0,1240.0
job 4,0.0,78.0,101.0,142.0,215.0,251.0,319.0,515.0,614.0,693.0,769.0,862.0,1001.0,1053.0,1129.0
job 5,65.0,94.0,175.0,373.0,443.0,530.0,614.0,679.0,762.0,862.0,909.0,959.0,1129.0,1191.0,1205.0
job 6,0.0,18.0,93.0,113.0,117.0,391.0,473.0,492.0,664.0,769.0,842.0,885.0,909.0,996.0,1191.0
job 7,115.0,167.0,219.0,228.0,277.0,338.0,416.0,515.0,577.0,589.0,657.0,690.0,770.0,773.0,850.0
job 8,0.0,85.0,122.0,218.0,309.0,322.0,414.0,496.0,693.0,842.0,898.0,1035.0,1043.0,1109.0,1225.0
job 9,0.0,5.0,64.0,94.0,179.0,228.0,245.0,350.0,439.0,517.0,605.0,771.0,965.0,1094.0,1226.0
job 10,0.0,113.0,140.0,167.0,267.0,466.0,573.0,662.0,711.0,743.0,771.0,888.0,995.0,1001.0,1089.0
job 11,0.0,49.0,92.0,167.0,218.0,299.0,365.0,449.0,483.0,511.0,577.0,674.0,1006.0,1073.0,1131.0
job 12,0.0,117.0,202.0,299.0,319.0,358.0,417.0,450.0,527.0,577.0,719.0,767.0,937.0,1043.0,1197.0
job 13,0.0,28.0,90.0,141.0,219.0,269.0,358.0,417.0,546.0,609.0,627.0,644.0,674.0,953.0,1165.0
job 14,85.0,302.0,338.0,459.0,493.0,577.0,728.0,796.0,869.0,874.0,882.0,919.0,1006.0,1109.0,1129.0
