criterion,tensor(1255.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,5.0,99.0,215.0,395.0,448.0,504.0,519.0,584.0,669.0,679.0,706.0,899.0,991.0,1087.0,1167.0
job 1,0.0,94.0,125.0,313.0,430.0,487.0,565.0,573.0,587.0,678.0,757.0,807.0,858.0,883.0,1216.0
job 2,0.0,195.0,277.0,366.0,537.0,666.0,735.0,837.0,843.0,897.0,965.0,1047.0,1067.0,1107.0,1187.0
job 3,199.0,272.0,350.0,418.0,458.0,511.0,609.0,696.0,789.0,848.0,939.0,969.0,1025.0,1075.0,1238.0
job 4,0.0,131.0,262.0,284.0,344.0,380.0,409.0,504.0,609.0,688.0,764.0,857.0,969.0,1041.0,1142.0
job 5,65.0,94.0,175.0,359.0,429.0,455.0,603.0,668.0,751.0,857.0,904.0,954.0,1041.0,1103.0,1117.0
job 6,0.0,18.0,93.0,127.0,131.0,316.0,413.0,445.0,499.0,764.0,837.0,880.0,905.0,1092.0,1179.0
job 7,115.0,147.0,199.0,213.0,263.0,324.0,364.0,481.0,601.0,607.0,689.0,727.0,1158.0,1161.0,1218.0
job 8,0.0,85.0,115.0,222.0,313.0,326.0,519.0,601.0,688.0,789.0,845.0,930.0,938.0,1004.0,1092.0
job 9,0.0,5.0,64.0,94.0,154.0,208.0,225.0,291.0,380.0,458.0,546.0,876.0,939.0,1021.0,1087.0
job 10,125.0,368.0,429.0,430.0,438.0,529.0,678.0,767.0,816.0,848.0,876.0,982.0,1075.0,1103.0,1143.0
job 11,0.0,49.0,92.0,167.0,211.0,281.0,284.0,368.0,402.0,430.0,490.0,615.0,660.0,1081.0,1139.0
job 12,0.0,65.0,127.0,224.0,244.0,283.0,317.0,350.0,559.0,609.0,716.0,764.0,921.0,1047.0,1143.0
job 13,0.0,28.0,74.0,125.0,272.0,448.0,580.0,660.0,766.0,829.0,854.0,954.0,1053.0,1136.0,1157.0
job 14,224.0,281.0,324.0,384.0,418.0,455.0,667.0,735.0,871.0,897.0,938.0,966.0,1053.0,1138.0,1158.0
