criterion,tensor(1254.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,0.0,86.0,172.0,182.0,300.0,365.0,459.0,530.0,555.0,653.0,756.0,804.0,839.0,1071.0,1092.0
job 1,134.0,202.0,351.0,389.0,518.0,633.0,698.0,736.0,764.0,826.0,918.0,983.0,994.0,1014.0,1100.0
job 2,0.0,33.0,100.0,212.0,303.0,457.0,538.0,634.0,722.0,777.0,839.0,861.0,996.0,1034.0,1131.0
job 3,86.0,128.0,146.0,290.0,396.0,482.0,498.0,576.0,646.0,908.0,976.0,1075.0,1165.0,1223.0,1230.0
job 4,35.0,182.0,241.0,304.0,317.0,420.0,461.0,576.0,695.0,714.0,800.0,928.0,1027.0,1100.0,1195.0
job 5,0.0,62.0,122.0,216.0,280.0,307.0,379.0,467.0,548.0,611.0,652.0,764.0,844.0,929.0,1049.0
job 6,65.0,232.0,304.0,394.0,428.0,477.0,482.0,491.0,536.0,606.0,699.0,912.0,1009.0,1071.0,1165.0
job 7,0.0,100.0,164.0,317.0,394.0,457.0,576.0,598.0,599.0,695.0,722.0,799.0,860.0,901.0,976.0
job 8,258.0,365.0,411.0,538.0,603.0,735.0,825.0,888.0,928.0,996.0,1009.0,1025.0,1108.0,1158.0,1182.0
job 9,0.0,5.0,40.0,202.0,216.0,571.0,653.0,668.0,781.0,844.0,908.0,984.0,1078.0,1096.0,1195.0
job 10,0.0,40.0,82.0,144.0,234.0,317.0,344.0,399.0,448.0,659.0,756.0,765.0,901.0,1034.0,1095.0
job 11,60.0,83.0,411.0,467.0,477.0,530.0,598.0,626.0,634.0,694.0,765.0,804.0,836.0,885.0,940.0
job 12,0.0,28.0,62.0,164.0,192.0,258.0,379.0,403.0,490.0,646.0,654.0,714.0,827.0,829.0,852.0
job 13,5.0,303.0,403.0,459.0,518.0,580.0,603.0,626.0,659.0,736.0,800.0,860.0,957.0,1078.0,1182.0
job 14,0.0,36.0,134.0,172.0,196.0,280.0,327.0,399.0,400.0,491.0,702.0,774.0,816.0,836.0,888.0
