criterion,5647.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,13.0,443.0,1369.0,1595.0,2033.0,2098.0,2192.0,2263.0,2288.0,2386.0,2435.0,2478.0,2486.0,2576.0,2597.0
job 1,232.0,571.0,599.0,637.0,1062.0,1155.0,1190.0,1227.0,1255.0,1317.0,1403.0,1468.0,1479.0,1673.0,4485.0
job 2,0.0,33.0,100.0,196.0,287.0,370.0,1808.0,1882.0,1970.0,2576.0,3999.0,4202.0,4281.0,4319.0,4359.0
job 3,0.0,221.0,370.0,443.0,531.0,555.0,571.0,649.0,719.0,772.0,840.0,913.0,1003.0,1061.0,1804.0
job 4,0.0,1317.0,1369.0,1532.0,1894.0,4443.0,4484.0,4995.0,5054.0,5073.0,5133.0,5218.0,5317.0,5390.0,5485.0
job 5,0.0,62.0,122.0,300.0,531.0,541.0,627.0,715.0,784.0,2192.0,2233.0,2279.0,2670.0,2746.0,2829.0
job 6,486.0,536.0,658.0,2594.0,2714.0,2758.0,3059.0,3067.0,3167.0,3237.0,3290.0,3368.0,3460.0,3522.0,3607.0
job 7,0.0,541.0,713.0,1488.0,1532.0,1595.0,1686.0,1707.0,1708.0,1804.0,1823.0,1882.0,1894.0,3048.0,3059.0
job 8,93.0,186.0,649.0,913.0,950.0,1227.0,1317.0,1380.0,1420.0,1488.0,1501.0,1517.0,1600.0,1649.0,1673.0
job 9,4038.0,4043.0,4339.0,4360.0,4374.0,4440.0,4443.0,4449.0,4547.0,4610.0,4674.0,4750.0,4844.0,4861.0,4923.0
job 10,186.0,221.0,263.0,325.0,613.0,686.0,4484.0,5218.0,5257.0,5390.0,5415.0,5424.0,5458.0,5508.0,5549.0
job 11,60.0,3677.0,3709.0,3744.0,3754.0,3783.0,3851.0,3871.0,3879.0,3937.0,3999.0,4038.0,4070.0,4078.0,4111.0
job 12,599.0,627.0,2435.0,2438.0,2466.0,2532.0,2591.0,2922.0,2967.0,3048.0,3056.0,3100.0,3142.0,3144.0,3167.0
job 13,122.0,393.0,486.0,1003.0,1062.0,3067.0,3092.0,3115.0,3290.0,3522.0,3586.0,3646.0,4449.0,4844.0,4923.0
job 14,1479.0,1935.0,2033.0,2486.0,2510.0,2594.0,2641.0,2713.0,2746.0,2837.0,2922.0,2990.0,4319.0,4339.0,4441.0
