criterion,tensor(1253.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,0.0,86.0,221.0,246.0,457.0,522.0,616.0,687.0,712.0,810.0,859.0,902.0,922.0,1086.0,1107.0
job 1,0.0,68.0,128.0,181.0,217.0,310.0,387.0,424.0,456.0,518.0,604.0,669.0,680.0,700.0,1104.0
job 2,0.0,152.0,219.0,315.0,406.0,542.0,632.0,692.0,780.0,860.0,922.0,944.0,1034.0,1072.0,1160.0
job 3,86.0,166.0,217.0,348.0,439.0,463.0,479.0,557.0,642.0,695.0,763.0,944.0,1107.0,1192.0,1199.0
job 4,35.0,131.0,183.0,310.0,323.0,345.0,386.0,457.0,604.0,774.0,838.0,924.0,1031.0,1115.0,1210.0
job 5,107.0,169.0,229.0,322.0,338.0,384.0,519.0,647.0,716.0,774.0,815.0,861.0,924.0,1012.0,1095.0
job 6,169.0,219.0,345.0,436.0,470.0,514.0,544.0,552.0,577.0,688.0,782.0,910.0,1024.0,1086.0,1171.0
job 7,0.0,60.0,124.0,323.0,435.0,498.0,589.0,687.0,692.0,834.0,853.0,912.0,924.0,965.0,976.0
job 8,246.0,339.0,406.0,505.0,555.0,646.0,736.0,799.0,856.0,924.0,937.0,1002.0,1085.0,1157.0,1181.0
job 9,11.0,146.0,190.0,287.0,315.0,552.0,555.0,643.0,780.0,843.0,907.0,983.0,1077.0,1095.0,1210.0
job 10,0.0,35.0,77.0,219.0,287.0,360.0,387.0,456.0,516.0,561.0,623.0,632.0,666.0,815.0,1094.0
job 11,60.0,83.0,166.0,201.0,231.0,260.0,623.0,643.0,716.0,774.0,836.0,875.0,983.0,991.0,1024.0
job 12,0.0,28.0,104.0,124.0,180.0,278.0,360.0,384.0,463.0,627.0,669.0,788.0,1023.0,1025.0,1072.0
job 13,0.0,11.0,104.0,131.0,216.0,322.0,345.0,498.0,505.0,774.0,838.0,898.0,995.0,1077.0,1181.0
job 14,0.0,68.0,183.0,229.0,253.0,337.0,384.0,456.0,457.0,557.0,700.0,853.0,924.0,944.0,1130.0
