criterion,tensor(1282.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,0.0,94.0,251.0,292.0,350.0,414.0,429.0,494.0,589.0,623.0,693.0,829.0,921.0,1017.0,1098.0
job 1,90.0,164.0,204.0,309.0,543.0,600.0,678.0,686.0,693.0,787.0,866.0,884.0,935.0,999.0,1105.0
job 2,0.0,179.0,280.0,483.0,625.0,686.0,750.0,771.0,777.0,831.0,970.0,1052.0,1072.0,1111.0,1192.0
job 3,195.0,268.0,320.0,506.0,572.0,625.0,771.0,845.0,938.0,970.0,1061.0,1091.0,1147.0,1181.0,1273.0
job 4,0.0,78.0,101.0,142.0,215.0,251.0,319.0,459.0,569.0,648.0,742.0,921.0,963.0,1124.0,1166.0
job 5,65.0,94.0,273.0,391.0,461.0,477.0,558.0,660.0,743.0,835.0,866.0,916.0,1004.0,1066.0,1147.0
job 6,0.0,18.0,93.0,113.0,117.0,218.0,286.0,576.0,632.0,777.0,899.0,946.0,1087.0,1124.0,1211.0
job 7,0.0,94.0,146.0,155.0,204.0,290.0,360.0,459.0,521.0,527.0,625.0,632.0,1152.0,1155.0,1212.0
job 8,0.0,85.0,122.0,218.0,322.0,335.0,429.0,511.0,711.0,789.0,845.0,930.0,938.0,1004.0,1146.0
job 9,94.0,115.0,174.0,204.0,264.0,305.0,325.0,391.0,494.0,572.0,673.0,953.0,1061.0,1143.0,1149.0
job 10,0.0,113.0,140.0,155.0,268.0,403.0,536.0,678.0,727.0,759.0,787.0,906.0,1091.0,1097.0,1145.0
job 11,0.0,47.0,163.0,265.0,286.0,337.0,345.0,429.0,463.0,531.0,681.0,861.0,1022.0,1097.0,1155.0
job 12,0.0,117.0,202.0,299.0,319.0,350.0,383.0,416.0,493.0,545.0,625.0,740.0,830.0,1052.0,1148.0
job 13,0.0,90.0,164.0,215.0,359.0,383.0,472.0,531.0,648.0,743.0,837.0,916.0,1089.0,1138.0,1166.0
job 14,85.0,305.0,361.0,472.0,508.0,587.0,613.0,759.0,832.0,884.0,892.0,935.0,1022.0,1132.0,1162.0
