criterion,tensor(1237.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,0.0,69.0,220.0,301.0,370.0,450.0,453.0,491.0,561.0,637.0,715.0,905.0,1021.0,1026.0,1050.0
job 1,0.0,171.0,286.0,366.0,429.0,518.0,678.0,730.0,748.0,772.0,965.0,991.0,1021.0,1084.0,1214.0
job 2,0.0,62.0,109.0,202.0,256.0,298.0,450.0,521.0,617.0,636.0,669.0,713.0,784.0,1114.0,1123.0
job 3,0.0,33.0,115.0,321.0,356.0,452.0,508.0,641.0,667.0,770.0,867.0,879.0,901.0,993.0,996.0
job 4,135.0,171.0,220.0,230.0,273.0,460.0,594.0,613.0,678.0,715.0,791.0,874.0,885.0,995.0,1210.0
job 5,0.0,83.0,126.0,169.0,282.0,511.0,605.0,748.0,863.0,909.0,939.0,995.0,1057.0,1089.0,1142.0
job 6,83.0,132.0,256.0,303.0,330.0,457.0,500.0,514.0,529.0,545.0,703.0,876.0,996.0,1119.0,1157.0
job 7,0.0,105.0,504.0,508.0,511.0,526.0,730.0,780.0,958.0,1007.0,1032.0,1059.0,1114.0,1139.0,1210.0
job 8,0.0,273.0,286.0,319.0,369.0,681.0,712.0,828.0,876.0,925.0,965.0,1059.0,1081.0,1142.0,1201.0
job 9,0.0,78.0,82.0,117.0,241.0,290.0,376.0,460.0,541.0,637.0,754.0,772.0,795.0,891.0,1095.0
job 10,69.0,109.0,222.0,303.0,399.0,452.0,457.0,518.0,541.0,623.0,658.0,784.0,791.0,845.0,1007.0
job 11,0.0,78.0,136.0,198.0,241.0,242.0,342.0,455.0,545.0,667.0,889.0,987.0,996.0,1057.0,1081.0
job 12,0.0,83.0,197.0,235.0,273.0,363.0,418.0,429.0,617.0,716.0,730.0,803.0,867.0,925.0,1061.0
job 13,33.0,235.0,333.0,426.0,500.0,561.0,623.0,698.0,788.0,828.0,905.0,913.0,965.0,1061.0,1130.0
job 14,62.0,135.0,147.0,161.0,232.0,235.0,282.0,366.0,450.0,623.0,681.0,776.0,939.0,1071.0,1139.0
