criterion,3290.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,303.0,389.0,497.0,671.0,730.0,896.0,1095.0,1191.0,1216.0,1314.0,1363.0,1406.0,1414.0,1578.0,1965.0
job 1,1007.0,1075.0,1103.0,1260.0,1296.0,1389.0,1424.0,1461.0,1633.0,2038.0,2124.0,2189.0,2200.0,2220.0,2981.0
job 2,0.0,33.0,100.0,359.0,484.0,883.0,2124.0,2184.0,2372.0,2392.0,2454.0,2488.0,2567.0,2610.0,2650.0
job 3,0.0,13.0,27.0,100.0,188.0,212.0,228.0,306.0,376.0,429.0,497.0,570.0,660.0,718.0,725.0
job 4,351.0,507.0,820.0,883.0,896.0,959.0,1075.0,1146.0,1414.0,1433.0,1493.0,1578.0,1677.0,1750.0,1845.0
job 5,0.0,62.0,212.0,376.0,392.0,628.0,1103.0,1191.0,1260.0,1442.0,1483.0,1730.0,1889.0,2004.0,2087.0
job 6,306.0,392.0,730.0,948.0,982.0,1216.0,1406.0,1414.0,1493.0,1677.0,2302.0,2479.0,2571.0,3022.0,3107.0
job 7,429.0,884.0,1872.0,2163.0,2207.0,2270.0,2361.0,2382.0,2383.0,2479.0,2498.0,2557.0,2569.0,2610.0,2621.0
job 8,1204.0,1297.0,1363.0,2270.0,2307.0,2398.0,2488.0,2551.0,2605.0,2798.0,2811.0,2827.0,2910.0,2975.0,2999.0
job 9,122.0,449.0,660.0,795.0,809.0,875.0,878.0,964.0,1141.0,1204.0,1864.0,2072.0,2383.0,2999.0,3175.0
job 10,444.0,567.0,609.0,671.0,739.0,1845.0,1872.0,1924.0,1963.0,2004.0,2029.0,2038.0,2072.0,2122.0,2163.0
job 11,1504.0,1527.0,1559.0,1594.0,1604.0,1793.0,1861.0,1881.0,1889.0,2476.0,2910.0,2949.0,3043.0,3051.0,3084.0
job 12,228.0,256.0,356.0,359.0,479.0,545.0,604.0,628.0,878.0,999.0,1007.0,1051.0,1093.0,1296.0,1389.0
job 13,0.0,62.0,155.0,182.0,241.0,305.0,328.0,351.0,358.0,875.0,939.0,1319.0,3004.0,3165.0,3218.0
job 14,2200.0,2236.0,2334.0,2571.0,2595.0,2679.0,2726.0,2798.0,2799.0,2890.0,2975.0,3043.0,3085.0,3105.0,3135.0
