criterion,tensor(1231.)
optimal,True

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,5.0,99.0,215.0,225.0,278.0,304.0,495.0,579.0,677.0,752.0,780.0,873.0,965.0,1065.0,1148.0
job 1,141.0,222.0,404.0,578.0,629.0,687.0,765.0,773.0,780.0,871.0,953.0,971.0,1029.0,1049.0,1175.0
job 2,0.0,284.0,366.0,444.0,628.0,678.0,736.0,757.0,763.0,817.0,885.0,974.0,994.0,1040.0,1075.0
job 3,84.0,181.0,204.0,234.0,264.0,322.0,434.0,492.0,585.0,629.0,732.0,765.0,821.0,864.0,1171.0
job 4,0.0,78.0,101.0,142.0,225.0,261.0,319.0,414.0,530.0,609.0,697.0,790.0,971.0,1023.0,1075.0
job 5,0.0,93.0,276.0,364.0,434.0,450.0,513.0,617.0,700.0,790.0,816.0,866.0,1102.0,1164.0,1178.0
job 6,0.0,18.0,93.0,113.0,117.0,438.0,506.0,525.0,594.0,763.0,885.0,950.0,974.0,1011.0,1164.0
job 7,0.0,32.0,84.0,113.0,165.0,226.0,309.0,435.0,519.0,525.0,587.0,594.0,674.0,678.0,1024.0
job 8,0.0,91.0,122.0,218.0,309.0,322.0,437.0,519.0,609.0,816.0,872.0,967.0,975.0,1098.0,1186.0
job 9,0.0,32.0,91.0,121.0,181.0,222.0,261.0,327.0,417.0,495.0,583.0,848.0,893.0,1033.0,1061.0
job 10,0.0,162.0,216.0,239.0,270.0,364.0,539.0,628.0,720.0,752.0,780.0,956.0,1049.0,1067.0,1102.0
job 11,0.0,49.0,93.0,226.0,264.0,317.0,320.0,404.0,438.0,497.0,560.0,652.0,697.0,773.0,872.0
job 12,157.0,222.0,320.0,417.0,437.0,506.0,557.0,590.0,686.0,736.0,816.0,864.0,954.0,1029.0,1143.0
job 13,0.0,28.0,90.0,141.0,253.0,349.0,438.0,525.0,687.0,750.0,954.0,994.0,1024.0,1047.0,1135.0
job 14,85.0,142.0,234.0,315.0,349.0,409.0,492.0,779.0,852.0,857.0,865.0,877.0,964.0,1047.0,1074.0
