criterion,4910.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,677.0,921.0,1644.0,1654.0,1713.0,1778.0,1904.0,1975.0,2000.0,2098.0,2147.0,2190.0,2956.0,3046.0,3067.0
job 1,1086.0,1154.0,1182.0,1220.0,1256.0,1713.0,1748.0,1876.0,2432.0,2494.0,4499.0,4564.0,4785.0,4805.0,4887.0
job 2,0.0,124.0,191.0,287.0,378.0,586.0,667.0,1311.0,1399.0,3698.0,3779.0,3801.0,3951.0,3989.0,4029.0
job 3,664.0,677.0,691.0,764.0,852.0,876.0,892.0,970.0,1396.0,1449.0,1989.0,2062.0,2152.0,2797.0,2804.0
job 4,1561.0,1654.0,1926.0,1989.0,4145.0,4164.0,4205.0,4276.0,4335.0,4354.0,4414.0,4499.0,4598.0,4671.0,4766.0
job 5,1535.0,1619.0,1870.0,2334.0,2350.0,2360.0,2432.0,2520.0,2589.0,2647.0,2688.0,2734.0,2797.0,2873.0,2956.0
job 6,378.0,428.0,496.0,586.0,620.0,664.0,669.0,691.0,764.0,834.0,1449.0,1527.0,1619.0,1808.0,1893.0
job 7,0.0,60.0,124.0,216.0,260.0,323.0,428.0,983.0,984.0,1080.0,1654.0,1713.0,4276.0,4575.0,4586.0
job 8,716.0,1040.0,1086.0,3018.0,3055.0,3146.0,3236.0,3299.0,3339.0,3407.0,3420.0,3436.0,3519.0,3629.0,3653.0
job 9,0.0,886.0,921.0,1154.0,3067.0,3146.0,3149.0,3155.0,3253.0,3316.0,3380.0,3456.0,3550.0,3567.0,3629.0
job 10,809.0,844.0,886.0,1467.0,1706.0,3880.0,3907.0,3959.0,3998.0,4039.0,4064.0,4111.0,4145.0,4195.0,4236.0
job 11,1527.0,1550.0,1582.0,1725.0,1779.0,1808.0,1876.0,1896.0,3898.0,3959.0,4073.0,4112.0,4144.0,4152.0,4185.0
job 12,669.0,948.0,1464.0,1467.0,1495.0,1561.0,1620.0,3653.0,3698.0,3779.0,3787.0,3831.0,3873.0,3875.0,3898.0
job 13,5.0,449.0,542.0,569.0,1785.0,1847.0,1904.0,2062.0,2069.0,2210.0,2274.0,2589.0,2686.0,2722.0,2775.0
job 14,0.0,496.0,594.0,632.0,852.0,936.0,983.0,1055.0,1220.0,1311.0,1396.0,1464.0,1872.0,1896.0,1926.0
