criterion,3779.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,5.0,438.0,759.0,769.0,2357.0,2431.0,2446.0,2511.0,2593.0,2952.0,3013.0,3368.0,3460.0,3556.0,3626.0
job 1,0.0,167.0,198.0,450.0,501.0,1507.0,2289.0,2444.0,2451.0,2805.0,2962.0,3438.0,3489.0,3507.0,3606.0
job 2,0.0,73.0,155.0,512.0,612.0,662.0,2003.0,2024.0,2030.0,2084.0,2152.0,2234.0,2254.0,2849.0,2884.0
job 3,0.0,73.0,195.0,662.0,692.0,798.0,892.0,1332.0,1425.0,1457.0,2593.0,2623.0,2679.0,2748.0,2840.0
job 4,0.0,229.0,591.0,612.0,672.0,1770.0,2556.0,2979.0,3078.0,3157.0,3233.0,3326.0,3368.0,3626.0,3668.0
job 5,73.0,102.0,163.0,558.0,1197.0,2299.0,2330.0,2395.0,2478.0,2722.0,2748.0,2798.0,2885.0,2947.0,2961.0
job 6,0.0,18.0,335.0,355.0,359.0,472.0,540.0,746.0,1654.0,1739.0,1812.0,1855.0,1879.0,1916.0,2947.0
job 7,0.0,198.0,250.0,286.0,335.0,950.0,985.0,1084.0,1146.0,1585.0,1647.0,1654.0,1734.0,1737.0,2798.0
job 8,57.0,716.0,746.0,842.0,933.0,946.0,1033.0,1115.0,1198.0,1276.0,1332.0,2234.0,3141.0,3460.0,3764.0
job 9,0.0,32.0,91.0,346.0,740.0,781.0,985.0,1051.0,1140.0,1457.0,1545.0,1614.0,1659.0,2293.0,2299.0
job 10,74.0,355.0,382.0,946.0,1198.0,1289.0,1369.0,1458.0,1741.0,2511.0,2539.0,2629.0,2722.0,3106.0,3639.0
job 11,0.0,49.0,259.0,504.0,540.0,591.0,594.0,678.0,712.0,1799.0,3012.0,3326.0,3371.0,3438.0,3496.0
job 12,102.0,167.0,229.0,326.0,346.0,842.0,1737.0,2885.0,2962.0,3012.0,3092.0,3140.0,3507.0,3582.0,3678.0
job 13,0.0,28.0,708.0,1119.0,1289.0,1458.0,1547.0,1614.0,1670.0,2254.0,2272.0,2289.0,2341.0,2424.0,2431.0
job 14,0.0,57.0,396.0,438.0,472.0,559.0,1051.0,1119.0,1192.0,2084.0,2242.0,2254.0,2341.0,2424.0,3233.0
