criterion,tensor(1244.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,0.0,86.0,291.0,368.0,442.0,507.0,618.0,689.0,714.0,812.0,861.0,904.0,912.0,1078.0,1099.0
job 1,0.0,68.0,128.0,166.0,202.0,333.0,411.0,448.0,476.0,538.0,627.0,692.0,703.0,761.0,1097.0
job 2,0.0,152.0,219.0,315.0,412.0,527.0,624.0,684.0,772.0,843.0,905.0,927.0,1038.0,1076.0,1152.0
job 3,86.0,325.0,339.0,412.0,512.0,541.0,557.0,635.0,708.0,899.0,967.0,1076.0,1166.0,1224.0,1231.0
job 4,35.0,128.0,180.0,295.0,308.0,327.0,371.0,442.0,684.0,703.0,831.0,916.0,1024.0,1107.0,1202.0
job 5,0.0,62.0,122.0,248.0,367.0,381.0,453.0,565.0,692.0,750.0,791.0,845.0,908.0,1002.0,1085.0
job 6,65.0,166.0,243.0,333.0,367.0,411.0,420.0,428.0,495.0,565.0,630.0,912.0,1016.0,1078.0,1166.0
job 7,0.0,60.0,124.0,308.0,427.0,492.0,635.0,689.0,703.0,799.0,835.0,894.0,906.0,947.0,967.0
job 8,232.0,325.0,406.0,490.0,559.0,650.0,740.0,803.0,843.0,916.0,929.0,1004.0,1087.0,1148.0,1172.0
job 9,0.0,5.0,40.0,234.0,315.0,509.0,512.0,635.0,772.0,835.0,899.0,975.0,1069.0,1086.0,1202.0
job 10,0.0,40.0,82.0,144.0,218.0,291.0,368.0,453.0,501.0,542.0,880.0,906.0,947.0,997.0,1086.0
job 11,60.0,83.0,264.0,327.0,352.0,476.0,608.0,628.0,636.0,703.0,841.0,880.0,975.0,983.0,1016.0
job 12,0.0,28.0,62.0,124.0,166.0,232.0,301.0,325.0,428.0,509.0,583.0,799.0,843.0,860.0,931.0
job 13,5.0,212.0,325.0,352.0,454.0,536.0,559.0,628.0,690.0,767.0,831.0,891.0,988.0,1069.0,1172.0
job 14,0.0,68.0,180.0,218.0,242.0,326.0,381.0,453.0,454.0,545.0,723.0,818.0,911.0,1040.0,1122.0
