criterion,tensor(1243.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,0.0,82.0,185.0,266.0,370.0,470.0,473.0,511.0,734.0,841.0,944.0,1032.0,1114.0,1117.0,1129.0
job 1,0.0,109.0,163.0,210.0,225.0,328.0,609.0,687.0,705.0,792.0,877.0,903.0,933.0,1000.0,1213.0
job 2,160.0,222.0,269.0,362.0,440.0,492.0,570.0,705.0,801.0,820.0,874.0,1005.0,1123.0,1213.0,1222.0
job 3,10.0,43.0,125.0,269.0,638.0,754.0,801.0,812.0,838.0,897.0,1032.0,1044.0,1054.0,1147.0,1168.0
job 4,0.0,136.0,185.0,198.0,314.0,420.0,525.0,544.0,642.0,679.0,760.0,792.0,838.0,911.0,1000.0
job 5,0.0,83.0,115.0,169.0,243.0,330.0,424.0,461.0,566.0,612.0,642.0,698.0,760.0,792.0,877.0
job 6,83.0,121.0,199.0,303.0,330.0,402.0,460.0,474.0,489.0,505.0,612.0,855.0,889.0,1097.0,1135.0
job 7,0.0,105.0,377.0,473.0,476.0,659.0,778.0,828.0,911.0,960.0,985.0,1037.0,1092.0,1097.0,1181.0
job 8,0.0,69.0,82.0,115.0,381.0,570.0,677.0,807.0,877.0,903.0,943.0,1037.0,1062.0,1123.0,1182.0
job 9,0.0,78.0,82.0,125.0,241.0,290.0,336.0,424.0,470.0,566.0,641.0,659.0,682.0,803.0,1123.0
job 10,69.0,199.0,222.0,303.0,478.0,540.0,636.0,687.0,727.0,819.0,902.0,998.0,1005.0,1089.0,1181.0
job 11,0.0,78.0,136.0,198.0,241.0,242.0,383.0,489.0,538.0,618.0,844.0,1114.0,1123.0,1147.0,1182.0
job 12,0.0,83.0,205.0,281.0,319.0,404.0,459.0,476.0,537.0,659.0,698.0,755.0,819.0,877.0,1045.0
job 13,0.0,10.0,319.0,416.0,479.0,540.0,602.0,677.0,767.0,812.0,889.0,907.0,949.0,1045.0,1146.0
job 14,36.0,109.0,121.0,210.0,299.0,330.0,377.0,461.0,545.0,601.0,659.0,754.0,854.0,1012.0,1080.0
