criterion,tensor(1253.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,0.0,69.0,150.0,231.0,383.0,466.0,469.0,507.0,636.0,697.0,932.0,1054.0,1136.0,1139.0,1151.0
job 1,0.0,83.0,150.0,197.0,212.0,301.0,412.0,595.0,773.0,795.0,880.0,906.0,936.0,961.0,1050.0
job 2,134.0,225.0,272.0,365.0,430.0,518.0,596.0,735.0,831.0,850.0,883.0,1035.0,1133.0,1223.0,1232.0
job 3,0.0,33.0,115.0,195.0,225.0,321.0,457.0,560.0,586.0,704.0,759.0,932.0,1028.0,1120.0,1178.0
job 4,196.0,232.0,281.0,321.0,377.0,446.0,518.0,537.0,638.0,675.0,756.0,788.0,799.0,872.0,1080.0
job 5,0.0,83.0,129.0,169.0,239.0,326.0,420.0,468.0,562.0,608.0,638.0,694.0,756.0,801.0,878.0
job 6,83.0,284.0,419.0,469.0,541.0,690.0,733.0,747.0,768.0,784.0,855.0,927.0,946.0,1130.0,1168.0
job 7,0.0,105.0,197.0,232.0,242.0,281.0,362.0,447.0,485.0,537.0,596.0,642.0,1004.0,1009.0,1181.0
job 8,0.0,197.0,210.0,365.0,426.0,673.0,704.0,831.0,880.0,906.0,954.0,1048.0,1072.0,1139.0,1198.0
job 9,0.0,78.0,82.0,117.0,241.0,290.0,336.0,420.0,466.0,564.0,667.0,685.0,708.0,804.0,1136.0
job 10,69.0,135.0,235.0,316.0,383.0,485.0,544.0,619.0,795.0,897.0,932.0,1028.0,1035.0,1089.0,1181.0
job 11,0.0,78.0,136.0,198.0,241.0,242.0,301.0,377.0,426.0,534.0,853.0,1045.0,1070.0,1106.0,1198.0
job 12,0.0,83.0,201.0,281.0,364.0,468.0,608.0,619.0,636.0,759.0,773.0,833.0,946.0,1004.0,1223.0
job 13,33.0,43.0,319.0,440.0,503.0,564.0,626.0,701.0,791.0,831.0,908.0,927.0,954.0,1110.0,1179.0
job 14,0.0,73.0,85.0,210.0,281.0,326.0,373.0,457.0,562.0,615.0,673.0,768.0,1020.0,1110.0,1178.0
