criterion,tensor(1259.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,5.0,99.0,165.0,277.0,405.0,469.0,498.0,564.0,692.0,724.0,768.0,906.0,998.0,1094.0,1174.0
job 1,0.0,74.0,113.0,313.0,421.0,503.0,646.0,654.0,666.0,757.0,836.0,855.0,906.0,983.0,1084.0
job 2,0.0,273.0,355.0,521.0,616.0,666.0,793.0,814.0,879.0,933.0,1006.0,1088.0,1108.0,1156.0,1191.0
job 3,186.0,259.0,291.0,341.0,445.0,548.0,667.0,725.0,818.0,866.0,958.0,988.0,1044.0,1082.0,1207.0
job 4,0.0,78.0,101.0,122.0,226.0,262.0,374.0,469.0,607.0,686.0,771.0,864.0,906.0,958.0,1060.0
job 5,105.0,134.0,353.0,478.0,548.0,564.0,595.0,660.0,743.0,864.0,890.0,1000.0,1115.0,1177.0,1191.0
job 6,0.0,18.0,93.0,113.0,117.0,222.0,290.0,309.0,442.0,527.0,600.0,643.0,667.0,998.0,1177.0
job 7,64.0,134.0,186.0,201.0,250.0,311.0,364.0,468.0,566.0,581.0,678.0,685.0,765.0,768.0,1108.0
job 8,0.0,96.0,126.0,222.0,313.0,326.0,484.0,600.0,686.0,818.0,874.0,998.0,1029.0,1095.0,1216.0
job 9,0.0,5.0,64.0,94.0,154.0,195.0,212.0,278.0,367.0,445.0,533.0,924.0,969.0,1051.0,1212.0
job 10,74.0,250.0,278.0,279.0,287.0,441.0,527.0,643.0,692.0,724.0,765.0,890.0,988.0,994.0,1117.0
job 11,0.0,47.0,90.0,165.0,290.0,354.0,357.0,441.0,475.0,503.0,598.0,726.0,993.0,1060.0,1147.0
job 12,0.0,195.0,257.0,354.0,374.0,405.0,438.0,471.0,548.0,598.0,678.0,726.0,827.0,902.0,1051.0
job 13,0.0,90.0,175.0,346.0,421.0,438.0,563.0,622.0,764.0,850.0,871.0,940.0,1191.0,1207.0,1214.0
job 14,182.0,257.0,311.0,371.0,405.0,442.0,725.0,793.0,866.0,871.0,879.0,906.0,1001.0,1095.0,1115.0
