criterion,tensor(1260.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,0.0,86.0,183.0,270.0,460.0,525.0,619.0,690.0,715.0,829.0,878.0,921.0,929.0,1083.0,1104.0
job 1,134.0,202.0,230.0,281.0,317.0,419.0,473.0,510.0,538.0,637.0,733.0,798.0,809.0,844.0,1128.0
job 2,0.0,33.0,100.0,208.0,317.0,454.0,535.0,595.0,683.0,704.0,921.0,943.0,1060.0,1098.0,1152.0
job 3,86.0,194.0,208.0,301.0,426.0,461.0,503.0,581.0,651.0,704.0,772.0,970.0,1104.0,1237.0,1244.0
job 4,0.0,93.0,145.0,208.0,247.0,266.0,335.0,406.0,465.0,662.0,862.0,947.0,1055.0,1128.0,1223.0
job 5,0.0,62.0,122.0,237.0,291.0,301.0,373.0,461.0,564.0,622.0,663.0,755.0,929.0,1019.0,1102.0
job 6,65.0,253.0,329.0,419.0,510.0,554.0,559.0,567.0,592.0,692.0,766.0,929.0,1021.0,1087.0,1172.0
job 7,0.0,128.0,253.0,410.0,579.0,642.0,733.0,754.0,755.0,851.0,870.0,929.0,941.0,982.0,993.0
job 8,268.0,406.0,452.0,542.0,579.0,709.0,799.0,862.0,902.0,970.0,983.0,1021.0,1104.0,1164.0,1188.0
job 9,11.0,16.0,51.0,321.0,410.0,525.0,528.0,662.0,760.0,823.0,887.0,975.0,1069.0,1102.0,1223.0
job 10,93.0,146.0,208.0,299.0,373.0,446.0,473.0,525.0,587.0,628.0,910.0,941.0,982.0,1098.0,1139.0
job 11,60.0,83.0,202.0,237.0,247.0,338.0,642.0,683.0,722.0,809.0,871.0,910.0,963.0,983.0,1022.0
job 12,0.0,28.0,62.0,100.0,128.0,194.0,276.0,300.0,345.0,452.0,476.0,595.0,690.0,780.0,803.0
job 13,0.0,115.0,208.0,235.0,345.0,450.0,502.0,535.0,542.0,798.0,862.0,922.0,1019.0,1099.0,1188.0
job 14,0.0,36.0,145.0,183.0,207.0,291.0,338.0,410.0,411.0,502.0,587.0,803.0,856.0,876.0,1069.0
