criterion,7237.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,0.0,1159.0,1225.0,1235.0,1288.0,1314.0,1329.0,1394.0,1476.0,1665.0,1692.0,1785.0,1877.0,1973.0,2043.0
job 1,90.0,164.0,195.0,1783.0,1877.0,1934.0,2199.0,2207.0,2214.0,2424.0,2503.0,2521.0,2572.0,2590.0,2689.0
job 2,0.0,439.0,521.0,561.0,911.0,961.0,1262.0,1283.0,1289.0,1343.0,1411.0,1493.0,1523.0,1562.0,1597.0
job 3,289.0,362.0,561.0,591.0,731.0,946.0,3947.0,4005.0,4098.0,4130.0,4221.0,4251.0,4307.0,4334.0,4426.0
job 4,310.0,388.0,411.0,432.0,492.0,591.0,620.0,1993.0,3306.0,3736.0,3812.0,3905.0,3947.0,3999.0,4041.0
job 5,260.0,289.0,647.0,735.0,1476.0,1492.0,1834.0,1899.0,2722.0,2800.0,2826.0,2876.0,2963.0,3025.0,3039.0
job 6,1225.0,1314.0,1389.0,1486.0,1692.0,1783.0,2126.0,2145.0,2199.0,2284.0,2357.0,2400.0,2424.0,2461.0,3639.0
job 7,666.0,698.0,1040.0,1049.0,1098.0,1159.0,4779.0,4878.0,4940.0,4946.0,5008.0,5015.0,5095.0,5098.0,5155.0
job 8,492.0,577.0,815.0,6351.0,6442.0,6562.0,6676.0,6758.0,6841.0,6919.0,6975.0,7060.0,7068.0,7134.0,7222.0
job 9,94.0,607.0,666.0,751.0,811.0,852.0,4055.0,5095.0,5184.0,5262.0,5350.0,5419.0,5464.0,5546.0,5552.0
job 10,0.0,283.0,6001.0,6002.0,6010.0,6101.0,6181.0,6270.0,6319.0,6351.0,6379.0,6469.0,6562.0,6568.0,6603.0
job 11,0.0,5546.0,5589.0,5664.0,5672.0,5723.0,5726.0,5810.0,5844.0,5872.0,5932.0,6001.0,6046.0,6113.0,6171.0
job 12,195.0,260.0,634.0,731.0,751.0,782.0,815.0,869.0,4005.0,4098.0,4426.0,4474.0,4564.0,4639.0,4735.0
job 13,411.0,1899.0,2284.0,2335.0,2410.0,3039.0,3128.0,3187.0,3243.0,3306.0,3324.0,3341.0,3371.0,3387.0,3394.0
job 14,577.0,634.0,735.0,961.0,995.0,1032.0,1194.0,1920.0,3341.0,3429.0,3437.0,3449.0,3536.0,3619.0,3639.0
