criterion,tensor(1266.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,5.0,99.0,165.0,186.0,275.0,301.0,544.0,609.0,722.0,754.0,781.0,913.0,1005.0,1113.0,1183.0
job 1,175.0,249.0,280.0,439.0,538.0,595.0,691.0,699.0,719.0,810.0,889.0,907.0,958.0,990.0,1135.0
job 2,0.0,222.0,436.0,476.0,669.0,719.0,790.0,811.0,817.0,871.0,964.0,1046.0,1066.0,1105.0,1140.0
job 3,280.0,353.0,406.0,461.0,491.0,544.0,664.0,722.0,815.0,863.0,975.0,1005.0,1061.0,1089.0,1236.0
job 4,0.0,141.0,217.0,281.0,341.0,377.0,406.0,501.0,600.0,679.0,778.0,871.0,1005.0,1071.0,1140.0
job 5,117.0,146.0,377.0,468.0,574.0,590.0,621.0,686.0,769.0,871.0,897.0,947.0,1034.0,1096.0,1110.0
job 6,0.0,18.0,117.0,137.0,141.0,359.0,501.0,520.0,628.0,817.0,939.0,982.0,1034.0,1071.0,1183.0
job 7,0.0,65.0,126.0,137.0,186.0,305.0,340.0,439.0,501.0,514.0,621.0,628.0,874.0,877.0,1066.0
job 8,0.0,91.0,121.0,232.0,323.0,336.0,507.0,589.0,679.0,815.0,871.0,956.0,964.0,1158.0,1246.0
job 9,0.0,32.0,91.0,121.0,181.0,222.0,239.0,305.0,394.0,472.0,560.0,757.0,954.0,1105.0,1111.0
job 10,0.0,90.0,117.0,118.0,146.0,255.0,580.0,673.0,722.0,754.0,789.0,897.0,1057.0,1148.0,1183.0
job 11,0.0,49.0,135.0,247.0,308.0,359.0,368.0,452.0,486.0,514.0,595.0,677.0,722.0,1063.0,1121.0
job 12,0.0,65.0,127.0,224.0,244.0,275.0,308.0,341.0,418.0,498.0,629.0,868.0,976.0,1051.0,1208.0
job 13,0.0,28.0,90.0,141.0,353.0,491.0,580.0,722.0,802.0,891.0,958.0,1006.0,1045.0,1128.0,1183.0
job 14,224.0,304.0,335.0,427.0,461.0,520.0,722.0,790.0,863.0,871.0,879.0,958.0,1045.0,1128.0,1148.0
