criterion,tensor(1251.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,5.0,99.0,165.0,344.0,405.0,431.0,528.0,626.0,741.0,751.0,778.0,871.0,963.0,1082.0,1167.0
job 1,0.0,74.0,113.0,208.0,353.0,410.0,488.0,515.0,523.0,614.0,693.0,753.0,812.0,879.0,1203.0
job 2,0.0,273.0,475.0,528.0,614.0,708.0,808.0,829.0,835.0,890.0,961.0,1043.0,1063.0,1145.0,1183.0
job 3,134.0,207.0,247.0,442.0,472.0,552.0,646.0,704.0,797.0,864.0,955.0,985.0,1041.0,1075.0,1211.0
job 4,0.0,78.0,101.0,122.0,182.0,218.0,247.0,350.0,449.0,528.0,664.0,829.0,895.0,953.0,1049.0
job 5,105.0,134.0,195.0,283.0,359.0,531.0,621.0,686.0,769.0,853.0,916.0,995.0,1116.0,1178.0,1192.0
job 6,0.0,18.0,93.0,113.0,117.0,218.0,286.0,305.0,446.0,734.0,847.0,892.0,916.0,963.0,1178.0
job 7,115.0,207.0,259.0,268.0,325.0,411.0,449.0,602.0,664.0,679.0,797.0,804.0,884.0,887.0,1093.0
job 8,0.0,85.0,122.0,259.0,350.0,363.0,450.0,651.0,734.0,812.0,868.0,953.0,961.0,1050.0,1196.0
job 9,0.0,5.0,64.0,94.0,154.0,195.0,212.0,278.0,367.0,445.0,533.0,893.0,955.0,1102.0,1108.0
job 10,218.0,317.0,410.0,411.0,419.0,614.0,694.0,783.0,832.0,864.0,892.0,982.0,1075.0,1081.0,1116.0
job 11,0.0,49.0,92.0,167.0,472.0,525.0,533.0,617.0,651.0,679.0,739.0,808.0,982.0,1081.0,1139.0
job 12,0.0,195.0,257.0,354.0,374.0,409.0,442.0,475.0,552.0,602.0,757.0,805.0,938.0,1043.0,1139.0
job 13,0.0,28.0,74.0,125.0,259.0,286.0,375.0,476.0,830.0,893.0,985.0,1063.0,1180.0,1196.0,1203.0
job 14,182.0,257.0,283.0,375.0,409.0,450.0,476.0,548.0,621.0,646.0,654.0,666.0,958.0,1041.0,1121.0
