criterion,tensor(1256.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,5.0,99.0,215.0,225.0,280.0,405.0,473.0,574.0,661.0,784.0,811.0,904.0,996.0,1092.0,1173.0
job 1,141.0,327.0,386.0,538.0,597.0,671.0,749.0,757.0,764.0,891.0,984.0,1002.0,1054.0,1074.0,1173.0
job 2,0.0,238.0,320.0,480.0,612.0,662.0,772.0,793.0,799.0,853.0,921.0,1003.0,1023.0,1099.0,1134.0
job 3,117.0,190.0,213.0,269.0,302.0,355.0,470.0,528.0,621.0,693.0,784.0,814.0,870.0,982.0,1074.0
job 4,0.0,78.0,101.0,142.0,225.0,261.0,290.0,439.0,566.0,645.0,721.0,814.0,988.0,1040.0,1134.0
job 5,190.0,219.0,312.0,400.0,470.0,486.0,589.0,654.0,737.0,815.0,841.0,897.0,1112.0,1174.0,1188.0
job 6,0.0,18.0,93.0,113.0,117.0,422.0,501.0,520.0,621.0,799.0,921.0,970.0,1002.0,1039.0,1174.0
job 7,0.0,65.0,117.0,140.0,209.0,305.0,340.0,439.0,502.0,749.0,811.0,818.0,1023.0,1026.0,1083.0
job 8,0.0,91.0,122.0,218.0,309.0,322.0,420.0,502.0,708.0,818.0,874.0,1003.0,1026.0,1126.0,1230.0
job 9,0.0,32.0,91.0,121.0,181.0,222.0,239.0,306.0,395.0,474.0,647.0,786.0,884.0,966.0,1092.0
job 10,0.0,113.0,140.0,201.0,236.0,400.0,523.0,612.0,661.0,693.0,721.0,889.0,982.0,988.0,1079.0
job 11,0.0,49.0,126.0,201.0,218.0,299.0,302.0,386.0,420.0,448.0,528.0,602.0,647.0,1040.0,1098.0
job 12,0.0,117.0,202.0,385.0,405.0,490.0,523.0,556.0,654.0,706.0,841.0,889.0,979.0,1054.0,1202.0
job 13,0.0,28.0,90.0,141.0,219.0,299.0,388.0,520.0,645.0,737.0,757.0,1023.0,1083.0,1152.0,1162.0
job 14,85.0,222.0,270.0,388.0,422.0,576.0,704.0,811.0,884.0,889.0,897.0,909.0,996.0,1092.0,1112.0
