criterion,4892.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,5.0,510.0,576.0,586.0,639.0,665.0,704.0,769.0,984.0,994.0,1021.0,1114.0,1206.0,2213.0,3025.0
job 1,0.0,167.0,198.0,3374.0,3425.0,3482.0,3701.0,3709.0,3716.0,3807.0,3886.0,3904.0,3955.0,3973.0,4072.0
job 2,0.0,127.0,209.0,424.0,935.0,985.0,1275.0,1302.0,1308.0,1362.0,1430.0,3886.0,3906.0,3955.0,3990.0
job 3,65.0,339.0,362.0,621.0,651.0,704.0,3482.0,3945.0,4038.0,4278.0,4369.0,4708.0,4764.0,4791.0,4883.0
job 4,0.0,209.0,352.0,373.0,440.0,1174.0,1203.0,1298.0,1397.0,1476.0,1552.0,4054.0,4096.0,4148.0,4190.0
job 5,138.0,167.0,336.0,4096.0,4166.0,4182.0,4213.0,4278.0,4361.0,4439.0,4465.0,4515.0,4602.0,4664.0,4678.0
job 6,318.0,336.0,411.0,431.0,3283.0,3560.0,3628.0,3647.0,3701.0,3786.0,3859.0,3906.0,3930.0,3967.0,4054.0
job 7,0.0,198.0,250.0,286.0,3070.0,3131.0,3184.0,3283.0,3345.0,3351.0,3413.0,3420.0,3500.0,3503.0,3560.0
job 8,224.0,309.0,651.0,1470.0,1824.0,2002.0,2089.0,2171.0,2254.0,2332.0,2388.0,2473.0,2481.0,2547.0,2635.0
job 9,0.0,32.0,249.0,279.0,339.0,798.0,2635.0,2701.0,2790.0,2868.0,2956.0,3025.0,3070.0,3152.0,3158.0
job 10,74.0,639.0,666.0,667.0,675.0,766.0,846.0,935.0,3152.0,3184.0,3212.0,3345.0,3799.0,4120.0,4155.0
job 11,0.0,281.0,324.0,576.0,747.0,798.0,801.0,885.0,994.0,1114.0,1206.0,1275.0,1320.0,1475.0,1533.0
job 12,0.0,65.0,127.0,224.0,244.0,985.0,1714.0,1747.0,1824.0,1874.0,1954.0,3709.0,3973.0,4070.0,4369.0
job 13,232.0,260.0,389.0,440.0,515.0,532.0,621.0,1645.0,1701.0,1764.0,1782.0,1799.0,1829.0,2171.0,2178.0
job 14,0.0,260.0,276.0,318.0,352.0,389.0,1296.0,1397.0,1470.0,1475.0,1512.0,1524.0,1611.0,1694.0,1714.0
