criterion,tensor(1259.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,0.0,86.0,183.0,208.0,286.0,410.0,504.0,575.0,600.0,698.0,747.0,790.0,823.0,1028.0,1077.0
job 1,134.0,202.0,230.0,281.0,317.0,426.0,524.0,575.0,603.0,665.0,857.0,922.0,954.0,985.0,1079.0
job 2,0.0,33.0,100.0,208.0,317.0,461.0,542.0,602.0,690.0,761.0,823.0,851.0,1050.0,1130.0,1170.0
job 3,86.0,194.0,208.0,301.0,389.0,413.0,429.0,517.0,587.0,710.0,786.0,859.0,1098.0,1227.0,1234.0
job 4,0.0,93.0,145.0,208.0,230.0,249.0,351.0,422.0,481.0,500.0,621.0,751.0,850.0,930.0,1065.0
job 5,0.0,62.0,122.0,270.0,291.0,301.0,429.0,630.0,706.0,764.0,805.0,879.0,942.0,1067.0,1150.0
job 6,65.0,202.0,329.0,419.0,453.0,517.0,522.0,530.0,560.0,630.0,683.0,798.0,966.0,1028.0,1129.0
job 7,0.0,128.0,561.0,653.0,703.0,766.0,857.0,878.0,890.0,986.0,1018.0,1077.0,1089.0,1130.0,1141.0
job 8,268.0,471.0,517.0,568.0,605.0,696.0,786.0,942.0,982.0,1050.0,1063.0,1079.0,1162.0,1212.0,1236.0
job 9,11.0,16.0,51.0,422.0,436.0,502.0,505.0,605.0,703.0,778.0,878.0,954.0,1048.0,1150.0,1212.0
job 10,93.0,146.0,267.0,329.0,397.0,497.0,530.0,582.0,640.0,698.0,751.0,902.0,936.0,1088.0,1129.0
job 11,60.0,83.0,436.0,522.0,532.0,683.0,766.0,786.0,796.0,854.0,986.0,1025.0,1057.0,1065.0,1098.0
job 12,0.0,28.0,62.0,100.0,128.0,194.0,253.0,277.0,413.0,587.0,922.0,1025.0,1067.0,1069.0,1199.0
job 13,0.0,115.0,208.0,235.0,294.0,356.0,379.0,419.0,426.0,503.0,595.0,699.0,796.0,849.0,913.0
job 14,0.0,36.0,145.0,183.0,207.0,291.0,338.0,410.0,411.0,502.0,587.0,854.0,949.0,969.0,1089.0
