criterion,tensor(1259.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,0.0,86.0,183.0,208.0,286.0,410.0,504.0,575.0,600.0,698.0,747.0,790.0,823.0,1098.0,1119.0
job 1,134.0,202.0,230.0,281.0,317.0,426.0,524.0,575.0,603.0,665.0,855.0,920.0,952.0,985.0,1078.0
job 2,0.0,33.0,100.0,208.0,317.0,461.0,542.0,602.0,690.0,761.0,823.0,851.0,943.0,981.0,1087.0
job 3,86.0,194.0,208.0,301.0,389.0,413.0,429.0,517.0,587.0,710.0,780.0,853.0,1119.0,1188.0,1195.0
job 4,0.0,93.0,145.0,208.0,230.0,249.0,351.0,422.0,481.0,500.0,621.0,751.0,850.0,930.0,1065.0
job 5,0.0,62.0,122.0,270.0,291.0,301.0,429.0,630.0,706.0,764.0,805.0,877.0,940.0,1067.0,1150.0
job 6,65.0,202.0,329.0,419.0,453.0,517.0,522.0,530.0,560.0,630.0,683.0,798.0,964.0,1026.0,1163.0
job 7,0.0,128.0,561.0,653.0,697.0,764.0,855.0,876.0,890.0,986.0,1016.0,1075.0,1087.0,1128.0,1139.0
job 8,268.0,436.0,507.0,558.0,595.0,686.0,776.0,940.0,981.0,1049.0,1062.0,1078.0,1161.0,1212.0,1236.0
job 9,11.0,16.0,51.0,422.0,436.0,502.0,505.0,595.0,693.0,778.0,876.0,952.0,1069.0,1150.0,1212.0
job 10,93.0,146.0,267.0,329.0,397.0,497.0,530.0,582.0,640.0,698.0,751.0,892.0,926.0,1049.0,1090.0
job 11,60.0,83.0,482.0,522.0,532.0,683.0,760.0,780.0,796.0,854.0,986.0,1025.0,1057.0,1065.0,1098.0
job 12,0.0,28.0,62.0,100.0,128.0,194.0,253.0,277.0,413.0,587.0,920.0,1025.0,1067.0,1069.0,1110.0
job 13,0.0,115.0,208.0,235.0,294.0,356.0,379.0,419.0,426.0,503.0,595.0,699.0,796.0,839.0,913.0
job 14,0.0,36.0,145.0,183.0,207.0,291.0,338.0,410.0,411.0,502.0,587.0,854.0,1090.0,1110.0,1169.0
