criterion,tensor(1242.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,5.0,99.0,215.0,395.0,448.0,578.0,593.0,658.0,740.0,750.0,777.0,891.0,983.0,1079.0,1159.0
job 1,90.0,164.0,223.0,418.0,515.0,572.0,650.0,658.0,687.0,778.0,875.0,893.0,944.0,968.0,1194.0
job 2,0.0,195.0,389.0,501.0,637.0,740.0,794.0,815.0,821.0,875.0,943.0,1025.0,1045.0,1084.0,1119.0
job 3,195.0,268.0,291.0,395.0,445.0,498.0,641.0,699.0,792.0,850.0,941.0,971.0,1037.0,1067.0,1230.0
job 4,0.0,131.0,222.0,243.0,303.0,360.0,389.0,484.0,587.0,666.0,756.0,849.0,977.0,1029.0,1119.0
job 5,65.0,94.0,284.0,395.0,465.0,496.0,583.0,648.0,731.0,849.0,882.0,938.0,1045.0,1107.0,1121.0
job 6,0.0,18.0,93.0,127.0,131.0,327.0,490.0,509.0,614.0,742.0,815.0,858.0,901.0,983.0,1134.0
job 7,64.0,96.0,165.0,174.0,223.0,284.0,319.0,428.0,490.0,498.0,607.0,614.0,1042.0,1045.0,1102.0
job 8,0.0,96.0,126.0,222.0,328.0,341.0,496.0,578.0,666.0,792.0,848.0,933.0,941.0,1070.0,1215.0
job 9,0.0,5.0,64.0,94.0,154.0,195.0,212.0,278.0,367.0,448.0,536.0,744.0,941.0,1084.0,1090.0
job 10,0.0,113.0,319.0,320.0,328.0,421.0,548.0,650.0,699.0,731.0,767.0,875.0,971.0,1007.0,1121.0
job 11,0.0,47.0,90.0,165.0,243.0,303.0,311.0,436.0,470.0,498.0,572.0,655.0,700.0,1029.0,1090.0
job 12,0.0,65.0,127.0,224.0,244.0,294.0,327.0,360.0,465.0,527.0,607.0,794.0,962.0,1037.0,1187.0
job 13,0.0,90.0,164.0,320.0,419.0,459.0,558.0,700.0,789.0,852.0,889.0,932.0,1031.0,1114.0,1149.0
job 14,306.0,363.0,379.0,425.0,459.0,509.0,699.0,777.0,884.0,893.0,901.0,944.0,1031.0,1114.0,1134.0
