criterion,tensor(1265.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,0.0,86.0,146.0,208.0,269.0,334.0,428.0,499.0,524.0,724.0,773.0,821.0,932.0,1104.0,1125.0
job 1,0.0,68.0,96.0,146.0,182.0,275.0,310.0,359.0,387.0,449.0,547.0,612.0,623.0,669.0,751.0
job 2,0.0,33.0,100.0,208.0,384.0,562.0,643.0,703.0,791.0,870.0,932.0,954.0,1037.0,1075.0,1171.0
job 3,86.0,200.0,214.0,312.0,400.0,424.0,440.0,518.0,616.0,669.0,774.0,947.0,1125.0,1234.0,1241.0
job 4,0.0,93.0,145.0,275.0,288.0,307.0,396.0,467.0,535.0,753.0,866.0,951.0,1060.0,1133.0,1228.0
job 5,0.0,62.0,122.0,380.0,400.0,449.0,524.0,626.0,703.0,761.0,802.0,879.0,942.0,1022.0,1125.0
job 6,65.0,201.0,310.0,410.0,444.0,488.0,505.0,531.0,556.0,626.0,751.0,829.0,1042.0,1104.0,1189.0
job 7,0.0,128.0,347.0,439.0,499.0,612.0,703.0,724.0,725.0,821.0,854.0,913.0,926.0,967.0,978.0
job 8,214.0,334.0,380.0,462.0,513.0,686.0,776.0,839.0,879.0,995.0,1008.0,1037.0,1120.0,1169.0,1193.0
job 9,11.0,16.0,51.0,467.0,481.0,604.0,622.0,676.0,791.0,854.0,918.0,994.0,1088.0,1105.0,1228.0
job 10,307.0,342.0,400.0,518.0,586.0,659.0,686.0,761.0,829.0,870.0,921.0,930.0,967.0,1095.0,1136.0
job 11,60.0,83.0,166.0,201.0,283.0,499.0,643.0,669.0,695.0,816.0,930.0,969.0,1001.0,1009.0,1042.0
job 12,0.0,28.0,62.0,100.0,134.0,200.0,259.0,283.0,424.0,505.0,951.0,995.0,1050.0,1065.0,1136.0
job 13,0.0,115.0,208.0,483.0,542.0,623.0,646.0,669.0,725.0,802.0,866.0,926.0,1024.0,1088.0,1193.0
job 14,0.0,68.0,166.0,204.0,228.0,312.0,359.0,439.0,440.0,531.0,773.0,1023.0,1075.0,1095.0,1141.0
