criterion,tensor(1279.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,0.0,86.0,146.0,208.0,269.0,338.0,432.0,503.0,528.0,626.0,675.0,718.0,804.0,1139.0,1160.0
job 1,0.0,68.0,301.0,374.0,432.0,526.0,561.0,603.0,631.0,726.0,812.0,877.0,888.0,956.0,1071.0
job 2,0.0,33.0,100.0,208.0,410.0,561.0,642.0,702.0,792.0,894.0,981.0,1003.0,1082.0,1140.0,1187.0
job 3,86.0,287.0,301.0,374.0,462.0,486.0,502.0,580.0,671.0,724.0,792.0,981.0,1160.0,1218.0,1225.0
job 4,0.0,93.0,145.0,208.0,221.0,240.0,394.0,465.0,524.0,543.0,627.0,726.0,825.0,898.0,993.0
job 5,0.0,62.0,122.0,465.0,496.0,506.0,578.0,673.0,742.0,800.0,841.0,887.0,950.0,1038.0,1121.0
job 6,65.0,166.0,329.0,462.0,497.0,541.0,552.0,560.0,603.0,673.0,726.0,908.0,1000.0,1062.0,1147.0
job 7,0.0,128.0,192.0,294.0,419.0,497.0,588.0,631.0,812.0,961.0,1026.0,1087.0,1099.0,1140.0,1151.0
job 8,93.0,334.0,397.0,482.0,560.0,651.0,745.0,825.0,882.0,950.0,963.0,1039.0,1122.0,1183.0,1245.0
job 9,11.0,16.0,51.0,380.0,431.0,549.0,626.0,642.0,790.0,853.0,917.0,993.0,1087.0,1121.0,1230.0
job 10,186.0,221.0,267.0,329.0,397.0,470.0,497.0,588.0,630.0,671.0,702.0,711.0,745.0,841.0,950.0
job 11,60.0,83.0,234.0,269.0,279.0,359.0,740.0,853.0,861.0,919.0,1000.0,1039.0,1071.0,1106.0,1139.0
job 12,0.0,28.0,62.0,100.0,221.0,287.0,346.0,370.0,718.0,799.0,1062.0,1122.0,1164.0,1171.0,1217.0
job 13,0.0,115.0,208.0,235.0,346.0,408.0,431.0,519.0,526.0,877.0,941.0,1001.0,1098.0,1134.0,1207.0
job 14,0.0,68.0,166.0,204.0,228.0,312.0,359.0,431.0,454.0,545.0,675.0,919.0,961.0,981.0,1099.0
