criterion,tensor(1231.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,0.0,69.0,220.0,301.0,390.0,470.0,473.0,511.0,580.0,639.0,876.0,1028.0,1110.0,1113.0,1125.0
job 1,0.0,171.0,366.0,413.0,454.0,752.0,848.0,902.0,920.0,942.0,1039.0,1065.0,1095.0,1113.0,1209.0
job 2,0.0,62.0,109.0,202.0,256.0,298.0,376.0,447.0,561.0,580.0,613.0,657.0,754.0,1109.0,1151.0
job 3,0.0,33.0,115.0,195.0,356.0,452.0,543.0,575.0,601.0,673.0,730.0,742.0,754.0,846.0,849.0
job 4,135.0,171.0,220.0,230.0,374.0,493.0,601.0,620.0,693.0,730.0,787.0,844.0,855.0,932.0,1193.0
job 5,0.0,83.0,245.0,251.0,378.0,539.0,633.0,704.0,800.0,846.0,876.0,977.0,1039.0,1071.0,1137.0
job 6,83.0,251.0,329.0,350.0,447.0,518.0,561.0,613.0,628.0,644.0,728.0,825.0,929.0,1114.0,1152.0
job 7,0.0,105.0,235.0,473.0,476.0,548.0,685.0,735.0,773.0,907.0,942.0,1054.0,1109.0,1122.0,1202.0
job 8,0.0,150.0,163.0,242.0,292.0,378.0,446.0,657.0,729.0,819.0,960.0,1054.0,1076.0,1137.0,1196.0
job 9,0.0,78.0,82.0,117.0,264.0,313.0,409.0,493.0,543.0,639.0,711.0,729.0,752.0,855.0,1110.0
job 10,69.0,225.0,242.0,323.0,399.0,513.0,653.0,705.0,728.0,810.0,846.0,942.0,949.0,1021.0,1113.0
job 11,0.0,78.0,136.0,198.0,241.0,242.0,298.0,465.0,514.0,601.0,828.0,920.0,929.0,953.0,1013.0
job 12,0.0,83.0,197.0,235.0,273.0,363.0,443.0,476.0,554.0,659.0,673.0,742.0,859.0,917.0,1056.0
job 13,33.0,109.0,273.0,366.0,452.0,514.0,620.0,695.0,785.0,825.0,902.0,933.0,960.0,1056.0,1125.0
job 14,62.0,135.0,147.0,163.0,242.0,245.0,292.0,464.0,548.0,601.0,659.0,846.0,964.0,1054.0,1122.0
