criterion,6146.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,86.0,155.0,530.0,611.0,922.0,1098.0,4523.0,4561.0,4623.0,4677.0,4743.0,4831.0,4913.0,4916.0,4928.0
job 1,1002.0,1101.0,1152.0,1199.0,1274.0,1363.0,1439.0,1491.0,1509.0,1531.0,1616.0,1765.0,3235.0,3454.0,3689.0
job 2,109.0,171.0,443.0,536.0,673.0,711.0,789.0,860.0,1472.0,1491.0,1834.0,1878.0,1967.0,2057.0,2072.0
job 3,968.0,1001.0,1194.0,1274.0,1304.0,1400.0,1509.0,1520.0,1546.0,1587.0,1642.0,1654.0,1664.0,1756.0,1759.0
job 4,0.0,361.0,410.0,1634.0,2781.0,2850.0,2922.0,2941.0,3006.0,3043.0,3100.0,3132.0,3143.0,3216.0,3305.0
job 5,0.0,1795.0,3672.0,3678.0,3691.0,3778.0,3872.0,3908.0,3984.0,4030.0,4060.0,4116.0,4178.0,4210.0,4262.0
job 6,83.0,218.0,296.0,317.0,344.0,1553.0,2297.0,2311.0,2326.0,2342.0,2391.0,2463.0,2482.0,2581.0,2619.0
job 7,0.0,12.0,86.0,425.0,428.0,468.0,530.0,1596.0,2311.0,2683.0,2708.0,2726.0,2781.0,2786.0,2857.0
job 8,1827.0,3908.0,4116.0,4149.0,4196.0,4282.0,4313.0,4410.0,4458.0,4483.0,4523.0,4617.0,4639.0,4700.0,4759.0
job 9,536.0,590.0,758.0,793.0,873.0,922.0,968.0,1052.0,1098.0,1400.0,1756.0,1774.0,1797.0,1893.0,1967.0
job 10,155.0,296.0,344.0,425.0,711.0,1677.0,2581.0,2850.0,2922.0,3043.0,3078.0,3174.0,3181.0,3305.0,3397.0
job 11,0.0,410.0,1491.0,1878.0,1921.0,1922.0,2066.0,2142.0,2191.0,2271.0,2297.0,2376.0,2385.0,2409.0,2433.0
job 12,0.0,38.0,124.0,236.0,1682.0,2941.0,2977.0,2988.0,3005.0,3104.0,3397.0,3454.0,3518.0,3576.0,3672.0
job 13,1642.0,1893.0,1979.0,2072.0,4677.0,4928.0,4990.0,5065.0,5155.0,5195.0,5272.0,5280.0,5307.0,5403.0,5472.0
job 14,36.0,4561.0,4623.0,4637.0,4916.0,4990.0,5272.0,5536.0,5620.0,5673.0,5731.0,5826.0,5913.0,6003.0,6071.0
