criterion,tensor(1231.)
optimal,True

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,5.0,99.0,215.0,225.0,278.0,385.0,495.0,580.0,677.0,746.0,780.0,873.0,965.0,1065.0,1148.0
job 1,141.0,222.0,404.0,507.0,595.0,687.0,765.0,773.0,780.0,871.0,957.0,975.0,1029.0,1049.0,1180.0
job 2,0.0,284.0,366.0,444.0,628.0,678.0,770.0,791.0,797.0,851.0,931.0,1013.0,1033.0,1072.0,1107.0
job 3,84.0,181.0,204.0,234.0,264.0,322.0,416.0,481.0,583.0,623.0,732.0,765.0,821.0,864.0,958.0
job 4,0.0,78.0,101.0,142.0,225.0,261.0,290.0,408.0,530.0,609.0,697.0,791.0,954.0,1023.0,1107.0
job 5,0.0,93.0,234.0,327.0,397.0,413.0,558.0,623.0,706.0,790.0,820.0,870.0,1100.0,1162.0,1176.0
job 6,0.0,18.0,93.0,113.0,117.0,438.0,507.0,526.0,594.0,797.0,919.0,962.0,986.0,1023.0,1162.0
job 7,0.0,32.0,84.0,113.0,165.0,226.0,309.0,409.0,519.0,525.0,587.0,594.0,674.0,871.0,950.0
job 8,0.0,91.0,122.0,218.0,309.0,322.0,437.0,519.0,672.0,782.0,838.0,923.0,931.0,1110.0,1203.0
job 9,0.0,32.0,91.0,121.0,181.0,222.0,261.0,327.0,417.0,495.0,583.0,848.0,893.0,1072.0,1078.0
job 10,0.0,162.0,216.0,239.0,270.0,364.0,539.0,628.0,714.0,746.0,774.0,956.0,1049.0,1065.0,1100.0
job 11,0.0,49.0,93.0,226.0,264.0,317.0,320.0,404.0,438.0,466.0,526.0,652.0,697.0,1055.0,1113.0
job 12,157.0,222.0,320.0,417.0,437.0,506.0,539.0,572.0,652.0,702.0,816.0,864.0,954.0,1029.0,1175.0
job 13,0.0,28.0,90.0,141.0,253.0,315.0,406.0,526.0,609.0,706.0,773.0,790.0,1026.0,1173.0,1180.0
job 14,85.0,142.0,322.0,404.0,444.0,481.0,702.0,773.0,846.0,851.0,859.0,871.0,962.0,1045.0,1091.0
